                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0965,                0.56779,                 1.4339,                0.97222,                  0.952,                0.97454,                0.66844,                 1.1826,                0.46148,                 1.4809,               0.004571,               0.004571,               0.004571
                     36,                 1.0933,                0.56328,                 1.4291,                0.97218,                0.95054,                0.97358,                0.67063,                 1.1754,                0.45961,                 1.4778,              0.0044113,              0.0044113,              0.0044113
                     37,                 1.0891,                0.55727,                 1.4296,                0.97215,                0.94972,                0.97321,                0.67137,                 1.1725,                0.45476,                 1.4779,              0.0042516,              0.0042516,              0.0042516
                     38,                 1.0849,                0.55092,                 1.4193,                0.97414,                0.95075,                 0.9743,                 0.6738,                 1.1708,                0.45156,                 1.4719,              0.0040919,              0.0040919,              0.0040919
                     39,                 1.0854,                 0.5509,                 1.4192,                0.97584,                 0.9472,                0.97398,                0.67512,                 1.1676,                0.44933,                  1.468,              0.0039323,              0.0039323,              0.0039323
                     40,                 1.0818,                0.54749,                 1.4189,                0.97305,                0.95122,                0.97426,                0.67514,                 1.1651,                0.44844,                 1.4667,              0.0037726,              0.0037726,              0.0037726
                     41,                 1.0748,                0.53936,                 1.4088,                0.97595,                0.95163,                0.97437,                0.67555,                 1.1632,                0.44498,                 1.4658,              0.0036129,              0.0036129,              0.0036129
                     42,                 1.0702,                0.53546,                 1.4046,                0.97527,                0.95075,                0.97456,                0.67697,                 1.1603,                0.44246,                 1.4617,              0.0034532,              0.0034532,              0.0034532
                     43,                 1.0664,                0.53312,                 1.4009,                0.97407,                0.95132,                0.97483,                0.67838,                 1.1579,                0.44041,                  1.458,              0.0032935,              0.0032935,              0.0032935
                     44,                 1.0661,                0.53129,                 1.3974,                0.97591,                0.95027,                0.97577,                 0.6787,                 1.1565,                0.43959,                 1.4561,              0.0031339,              0.0031339,              0.0031339
                     45,                 1.0633,                0.52765,                 1.3972,                0.97638,                0.94981,                 0.9772,                0.67901,                 1.1556,                0.43962,                  1.455,              0.0029742,              0.0029742,              0.0029742
                     46,                 1.0556,                0.52201,                 1.3903,                0.97693,                0.94981,                0.97728,                 0.6794,                 1.1532,                0.43874,                 1.4523,              0.0028145,              0.0028145,              0.0028145
                     47,                 1.0476,                0.51775,                 1.3863,                 0.9777,                0.94981,                0.97712,                0.68032,                  1.152,                0.43699,                  1.452,              0.0026548,              0.0026548,              0.0026548
                     48,                 1.0493,                0.51456,                 1.3864,                0.98017,                0.95058,                0.97787,                0.67972,                 1.1517,                 0.4355,                  1.451,              0.0024952,              0.0024952,              0.0024952
                     49,                 1.0422,                0.51366,                 1.3836,                0.98015,                0.94967,                0.97743,                0.68079,                 1.1519,                0.43497,                 1.4511,              0.0023355,              0.0023355,              0.0023355
                     50,                 1.0409,                0.50864,                 1.3839,                0.98063,                0.95122,                0.97775,                 0.6807,                 1.1512,                0.43481,                 1.4509,              0.0021758,              0.0021758,              0.0021758
                     51,                 1.0373,                0.50599,                 1.3763,                0.98039,                0.94981,                0.97757,                0.68118,                 1.1504,                0.43384,                 1.4496,              0.0020161,              0.0020161,              0.0020161
                     52,                 1.0345,                0.50287,                 1.3747,                 0.9798,                0.95028,                0.97752,                0.68135,                  1.149,                0.43283,                 1.4486,              0.0018565,              0.0018565,              0.0018565
                     53,                 1.0053,                0.42105,                 1.3675,                0.98057,                0.95028,                0.97727,                0.68193,                 1.1489,                0.43121,                 1.4483,              0.0016968,              0.0016968,              0.0016968
                     54,                0.99668,                0.41476,                 1.3624,                 0.9797,                0.95059,                0.97731,                0.68166,                 1.1481,                 0.4296,                 1.4476,              0.0015371,              0.0015371,              0.0015371
                     55,                0.98954,                0.40928,                 1.3536,                 0.9783,                0.95157,                 0.9775,                0.68218,                 1.1468,                0.42827,                 1.4465,              0.0013774,              0.0013774,              0.0013774
                     56,                0.98164,                0.40339,                 1.3447,                0.97784,                0.95228,                0.97734,                0.68242,                 1.1462,                0.42756,                 1.4458,              0.0012177,              0.0012177,              0.0012177
                     57,                0.97272,                0.40111,                 1.3398,                0.97817,                 0.9531,                0.97739,                 0.6829,                 1.1464,                0.42727,                 1.4455,              0.0010581,              0.0010581,              0.0010581
                     58,                 0.9679,                0.39707,                 1.3345,                0.97879,                0.95233,                0.97736,                0.68321,                 1.1459,                0.42699,                 1.4448,             0.00089839,             0.00089839,             0.00089839
                     59,                0.96254,                0.39169,                 1.3291,                0.97877,                0.95144,                0.97717,                0.68389,                 1.1456,                0.42656,                  1.444,             0.00073871,             0.00073871,             0.00073871
                     60,                0.95406,                0.38678,                 1.3247,                0.97737,                0.95205,                0.97698,                0.68415,                 1.1451,                0.42576,                 1.4435,             0.00057903,             0.00057903,             0.00057903
                     61,                0.95022,                0.38453,                 1.3207,                 0.9769,                0.95226,                0.97589,                0.68385,                  1.145,                0.42531,                  1.443,             0.00041935,             0.00041935,             0.00041935
                     62,                0.94427,                 0.3798,                 1.3181,                0.97416,                  0.955,                0.97582,                0.68475,                 1.1445,                0.42459,                 1.4424,             0.00025968,             0.00025968,             0.00025968
